tenant,val_euro,duration,economicUnitValue,resourceName,date,hour,raw_caller_number,formatted_caller_number,raw_called_number,formatted_called_number,is_internal,call_direction,call_type,start_time,end_time,call_status,call_id
example_tenant,1.9,387,1.13,example_resource,2025-03-26,13:39:48,8596809696,+39 8596809696,3784679159,+39 3784679159,False,outbound,voice,2025-03-26T13:39:48.719585,2025-03-26T13:46:15.719585,answered,82c15b9b6cc4dd11
example_tenant,2.03,569,1.88,example_resource,2025-03-12,13:39:48,4895536988,+39 4895536988,7727968082,+39 7727968082,True,inbound,voice,2025-03-12T13:39:48.719691,2025-03-12T13:49:17.719691,answered,9d3ddda2d42077bc
example_tenant,2.24,233,0.55,example_resource,2025-03-12,13:39:48,3426216633,+39 3426216633,8822876166,+39 8822876166,True,outbound,voice,2025-03-12T13:39:48.719746,2025-03-12T13:43:41.719746,answered,c80983d31e80098d
example_tenant,1.38,546,0.98,example_resource,2025-03-30,13:39:48,6581428507,+39 6581428507,1649608072,+39 1649608072,True,outbound,voice,2025-03-30T13:39:48.719798,2025-03-30T13:48:54.719798,voicemail,ad06db26f32eebc4
example_tenant,1.26,444,1.18,example_resource,2025-03-30,13:39:48,6514371394,+39 6514371394,4933558543,+39 4933558543,True,inbound,video,2025-03-30T13:39:48.719852,2025-03-30T13:47:12.719852,answered,d81f6ea89bb43966
example_tenant,0.71,248,1.16,example_resource,2025-03-22,13:39:48,4004574243,+39 4004574243,4100540638,+39 4100540638,False,inbound,video,2025-03-22T13:39:48.719914,2025-03-22T13:43:56.719914,missed,17a128d616094091
example_tenant,3.89,296,1.5,example_resource,2025-03-13,13:39:48,5391378337,+39 5391378337,4346727562,+39 4346727562,False,outbound,video,2025-03-13T13:39:48.719947,2025-03-13T13:44:44.719947,answered,5ff2abcfbca877e6
example_tenant,1.5,564,1.29,example_resource,2025-03-08,13:39:48,9137670730,+39 9137670730,2649182556,+39 2649182556,True,inbound,voice,2025-03-08T13:39:48.719974,2025-03-08T13:49:12.719974,voicemail,829c9d383540e794
example_tenant,2.7,289,1.83,example_resource,2025-03-16,13:39:48,6587987380,+39 6587987380,6322738159,+39 6322738159,False,inbound,voice,2025-03-16T13:39:48.720002,2025-03-16T13:44:37.720002,answered,5909ce4afa057052
example_tenant,1.93,174,0.55,example_resource,2025-03-13,13:39:48,7672452949,+39 7672452949,1747158228,+39 1747158228,True,inbound,video,2025-03-13T13:39:48.720028,2025-03-13T13:42:42.720028,answered,54fec4a5dae61c8f
example_tenant,0.71,521,0.53,example_resource,2025-03-20,13:39:48,0321767226,+39 0321767226,0241934100,+39 0241934100,True,inbound,voice,2025-03-20T13:39:48.720054,2025-03-20T13:48:29.720054,missed,6543233ad4cb3985
example_tenant,2.39,276,1.16,example_resource,2025-03-08,13:39:48,1332309767,+39 1332309767,0726794057,+39 0726794057,True,outbound,voice,2025-03-08T13:39:48.720086,2025-03-08T13:44:24.720086,voicemail,fbbbf985d09bda7e
example_tenant,3.83,495,0.87,example_resource,2025-03-29,13:39:48,0497414385,+39 0497414385,9605981274,+39 9605981274,True,inbound,video,2025-03-29T13:39:48.720208,2025-03-29T13:48:03.720208,voicemail,c2adb17cbdfc0df8
example_tenant,0.75,28,1.21,example_resource,2025-03-14,13:39:48,5624508251,+39 5624508251,5432353866,+39 5432353866,False,inbound,video,2025-03-14T13:39:48.720245,2025-03-14T13:40:16.720245,answered,427466dcf3a8c2a1
example_tenant,1.34,506,1.93,example_resource,2025-03-22,13:39:48,1891111602,+39 1891111602,5103200075,+39 5103200075,True,outbound,voice,2025-03-22T13:39:48.720271,2025-03-22T13:48:14.720271,missed,e33ac8865b4eeceb
example_tenant,4.59,396,0.67,example_resource,2025-03-06,13:39:48,3058384389,+39 3058384389,8158510583,+39 8158510583,True,outbound,voice,2025-03-06T13:39:48.720303,2025-03-06T13:46:24.720303,missed,d8714b89f61efc10
example_tenant,4.41,212,1.3,example_resource,2025-03-26,13:39:48,6855435061,+39 6855435061,8041720434,+39 8041720434,False,inbound,voice,2025-03-26T13:39:48.720331,2025-03-26T13:43:20.720331,missed,cf745f60b455e29d
example_tenant,2.08,259,1.84,example_resource,2025-03-26,13:39:48,0353328666,+39 0353328666,0811320609,+39 0811320609,False,inbound,video,2025-03-26T13:39:48.720357,2025-03-26T13:44:07.720357,answered,60791d24acebe71f
example_tenant,0.17,286,1.61,example_resource,2025-04-03,13:39:48,7116240007,+39 7116240007,7572754864,+39 7572754864,True,outbound,video,2025-04-03T13:39:48.720386,2025-04-03T13:44:34.720386,missed,c4cbb03d7373e255
example_tenant,1.09,100,1.16,example_resource,2025-03-08,13:39:48,7664158361,+39 7664158361,8530229134,+39 8530229134,False,inbound,voice,2025-03-08T13:39:48.720415,2025-03-08T13:41:28.720415,missed,2e49c086497920b4
example_tenant,4.82,232,0.76,example_resource,2025-03-07,13:39:48,0925312155,+39 0925312155,7409086279,+39 7409086279,False,outbound,voice,2025-03-07T13:39:48.720452,2025-03-07T13:43:40.720452,answered,da348ce2ee728a5a
example_tenant,2.12,278,1.95,example_resource,2025-03-13,13:39:48,1325417469,+39 1325417469,5771401664,+39 5771401664,True,inbound,voice,2025-03-13T13:39:48.720506,2025-03-13T13:44:26.720506,answered,9fa9acc6bf8ceb70
example_tenant,2.93,214,1.1,example_resource,2025-03-22,13:39:48,3544966456,+39 3544966456,6810705376,+39 6810705376,False,outbound,voice,2025-03-22T13:39:48.720535,2025-03-22T13:43:22.720535,voicemail,9e256ff3193a089d
example_tenant,2.4,88,1.97,example_resource,2025-04-03,13:39:48,2584578448,+39 2584578448,4361165583,+39 4361165583,False,outbound,video,2025-04-03T13:39:48.720562,2025-04-03T13:41:16.720562,answered,a8a056387d916bb7
example_tenant,2.11,185,1.63,example_resource,2025-03-31,13:39:48,5390690643,+39 5390690643,0484323300,+39 0484323300,True,outbound,video,2025-03-31T13:39:48.720587,2025-03-31T13:42:53.720587,voicemail,0eb5df90a3b69b20
example_tenant,0.79,137,1.92,example_resource,2025-04-01,13:39:48,9706776395,+39 9706776395,1299827091,+39 1299827091,True,inbound,voice,2025-04-01T13:39:48.720620,2025-04-01T13:42:05.720620,answered,109136b6d0acdd09
example_tenant,0.32,207,1.66,example_resource,2025-04-02,13:39:48,4414102306,+39 4414102306,8260681210,+39 8260681210,True,outbound,voice,2025-04-02T13:39:48.720649,2025-04-02T13:43:15.720649,answered,5a36dab25cb282b3
example_tenant,4.68,247,0.55,example_resource,2025-03-18,13:39:48,6589122004,+39 6589122004,3086003283,+39 3086003283,False,inbound,voice,2025-03-18T13:39:48.720675,2025-03-18T13:43:55.720675,missed,2725ea751b057909
example_tenant,2.68,98,1.28,example_resource,2025-03-28,13:39:48,1536117113,+39 1536117113,4866543594,+39 4866543594,True,inbound,voice,2025-03-28T13:39:48.720700,2025-03-28T13:41:26.720700,answered,fa5f5063034c0ff1
example_tenant,0.63,593,1.76,example_resource,2025-03-18,13:39:48,7841528107,+39 7841528107,7915625193,+39 7915625193,False,inbound,voice,2025-03-18T13:39:48.720724,2025-03-18T13:49:41.720724,voicemail,e59d175da92551fd
example_tenant,1.66,205,0.64,example_resource,2025-03-24,13:39:48,4056559298,+39 4056559298,5178462072,+39 5178462072,True,inbound,video,2025-03-24T13:39:48.720818,2025-03-24T13:43:13.720818,missed,93be5f11aeea2019
example_tenant,2.76,152,1.09,example_resource,2025-03-14,13:39:48,1428101130,+39 1428101130,6652390837,+39 6652390837,True,inbound,voice,2025-03-14T13:39:48.720846,2025-03-14T13:42:20.720846,answered,361e78a783070634
